Symbol,Name
20MICRONS,20 Microns Ltd
21STCENMGM,21st Century Management Services Ltd
3IINFOTECH,3i Infotech Ltd
3MINDIA,3M India Ltd
3PLAND,3P Land Holdings Ltd
3RDROCK,3rd Rock Multimedia Ltd
5PAISA,5Paisa Capital Ltd
63MOONS,63 Moons Technologies Ltd
AMJUMBO,A and M Jumbo Bags Ltd
ITDCEM,ITD Cementation India Ltd,/stocks/itd-cementation-india-ITCM
ITI,ITI Ltd,/stocks/iti-ITEL
IVP,IVP Ltd,/stocks/ivp-IVPL
IZMO,IZMO Ltd,/stocks/izmo-IZMO
JKIL,J.Kumar Infraprojects Ltd
JAGRAN,Jagran Prakashan Ltd,/stocks/jagran-prakashan-JAGP
JAGSNPHARM,Jagsonpal Pharmaceuticals Ltd,/stocks/jagson-pal-pharmaceuticals-JGSN
JAIBALAJI,Jai Balaji Industries Ltd,/stocks/jai-balaji-industries-JAIB
JAICORPLTD,Jai Corp Ltd,/stocks/jai-corp-JAIC
JAIHINDPRO,Jaihind Projects Ltd,/stocks/jaihind-projects-JHNP
JISLJALEQS,Jain Irrigation Systems Ltd,/stocks/jain-irrigation-systems---dvr-JAIRdv
JAINSTUDIO,Jain Studios Ltd
JPASSOCIAT,Jaiprakash Associates Ltd,/stocks/jaiprakash-associates-JAIA
JPPOWER,Jaiprakash Power Ventures Ltd,/stocks/jaiprakash-power-ventures-JAPR
JAKHARIA,Jakharia Fabric Ltd,/stocks/jakharia-fabric-JAKH
JALAN,Jalan Transolutions (India) Ltd,/stocks/jalan-transolutions-india-JALN
JAMNAAUTO,Jamna Auto Industries Ltd,/stocks/jamna-auto-industries-JMNA
JASH,Jash Engineering Ltd,/stocks/jash-engineering-JSHE
JAYBARMARU,Jay Bharat Maruti Ltd,/stocks/jay-bharat-maruti-JYBM
JAYAGROGN,Jayant Agro Organics Ltd
JAYNECOIND,Jayaswal Neco Industries Ltd,/stocks/jayaswal-neco-industries-JAYN
JPINFRATEC,Jaypee Infratech Ltd
JAYSREETEA,Jayshree Tea & Industries Ltd
JBCHEPHARM,JB Chemicals & Pharmaceuticals Ltd
JBFIND,JBF Industries Ltd,/stocks/jbf-industries-JBFI
JBMA,JBM Auto Ltd,/stocks/jbm-auto-JBMA
JETAIRWAYS,Jet Airways (India) Ltd,/stocks/jet-airways-india-JET
JETFREIGHT,Jet Freight Logistics Ltd,/stocks/jet-freight-logistics-JETR
JETKNIT,Jet Knitwears Ltd,/stocks/jet-knitwears-JETK
JHS,JHS Svendgaard Laboratories Ltd,/stocks/jhs-svendgaard-laboratories-JHSS
JIKIND,JIK Industries Ltd,/stocks/jik-industries-JIKI
JINDRILL,Jindal Drilling And Industries Ltd,/stocks/jindal-drilling-and-industries-JNDR
JINDALPHOT,Jindal Photo Ltd,/stocks/jindal-photo-JINP
JINDALPOLY,Jindal Poly Films Ltd,/stocks/jindal-poly-films-JPLY
JPOLYINVST,Jindal Poly Investment and Finance Company Ltd,/stocks/jindal-poly-investment-and-finance-company-JINL
JINDALSAW,Jindal Saw Ltd,/stocks/jindal-saw-JIND
JSLHISAR,Jindal Stainless (Hisar) Ltd
JSL,Jindal Stainless Ltd,/stocks/jindal-stainless-JIST
JINDALSTEL,Jindal Steel & Power Ltd
JINDWORLD,Jindal Worldwide Ltd,/stocks/jindal-worldwide-JINW
JITFINFRA,JITF Infralogistics Ltd,/stocks/jitf-infralogistics-JITF
JKCEMENT,JK Cement Ltd
JKLAKSHMI,JK Lakshmi Cement Ltd,/stocks/jk-lakshmi-cement-JKLC
JKPAPER,JK Paper Ltd,/stocks/jk-paper-JKPA
JKTYRE,JK Tyre & Industries Ltd,/stocks/jk-tyre-and-industries-JKIN
JMFINANCIL,JM Financial Ltd,/stocks/jm-financial-JMSH
JMCPROJECT,JMC Projects (India) Ltd
JMTAUTOLTD,JMT Auto Ltd
JOCIL,Jocil Ltd,/stocks/jocil-JOCI
JCHAC,Johnson Controls – Hitachi Air Conditioning India Ltd
JSWENERGY,JSW Energy Ltd,/stocks/jsw-energy-JSWE
JSWHL,JSW Holdings Ltd,/stocks/jsw-holdings-JNSW
JSWSTEEL,JSW Steel Ltd,/stocks/jsw-steel-JSTL
JTEKTINDIA,Jtekt India Ltd,/stocks/jtekt-india-JTEK
JUBLFOOD,Jubilant Foodworks Ltd,/stocks/jubilant-foodworks-JUBI
JUBLINDS,Jubilant Industries Ltd,/stocks/jubilant-industries-JUBL
JUBILANT,Jubilant Life Sciences Ltd
JMA,Jullundur Motor Agency (Delhi) Ltd,/stocks/jullundur-motor-agency-delhi-JULL
JUSTDIAL,Just Dial Ltd,/stocks/just-dial-JUST
JVLAGRO,JVL Agro Industries Ltd
JYOTHYLAB,Jyothy Labs Ltd,/stocks/jyothy-labs-JYOI
JYOTISTRUC,Jyoti Structures Ltd,/stocks/jyoti-structures-JYTS
KMSUGAR,K.M.Sugar Mills Ltd
KPRMILL,K.P.R. Mill Ltd
KABRAEXTRU,Kabra Extrusion Technik Ltd,/stocks/kabra-extrusion-technik-KBRE
KAJARIACER,Kajaria Ceramics Ltd,/stocks/kajaria-ceramics-KAJR
KAKATCEM,Kakatiya Cement Sugar & Industries Ltd
KALPATPOWR,Kalpataru Power Transmission Ltd,/stocks/kalpataru-power-transmission-KAPT
KALYANI,Kalyani Commercials Ltd,/stocks/kalyani-commercials-KLYA
KALYANIFRG,Kalyani Forge Ltd,/stocks/kalyani-forge-KALF
KICL,Kalyani Investment Company Ltd,/stocks/kalyani-investment-company-KALA
KSL,Kalyani Steels Ltd,/stocks/kalyani-steels-KLSL
KAMATHOTEL,Kamat Hotels (I) Ltd
KAMDHENU,Kamdhenu Ltd,/stocks/kamdhenu-KAMI
KANANIIND,Kanani Industries Ltd,/stocks/kanani-industries-KANN
KANORICHEM,Kanoria Chemicals & Industries Ltd
KANSAINER,Kansai Nerolac Paints Ltd,/stocks/kansai-nerolac-paints-KANE
KAPSTON,Kapston Facilities Management Ltd
KARDA,Karda Constructions Ltd
KARMAENG,Karma Energy Ltd,/stocks/karma-energy-KRME
KARURVYSYA,Karur Vysya Bank Ltd,/stocks/karur-vysya-bank-KARU
KGL,Karuturi Global Ltd,/stocks/karuturi-global-KART
KAUSHALYA,Kaushalya Infrastructure Development Corporation Ltd,/stocks/kaushalya-infrastructure-development-corporation-KAUS
KSCL,Kaveri Seed Company Ltd,/stocks/kaveri-seed-company-KVRI
KAYA,Kaya Ltd,/stocks/kaya-KAYA
KCP,KCP Ltd,/stocks/kcp-KCP
KCPSUGIND,KCP Sugar and Industries Corporation Ltd
KDDL,KDDL Ltd,/stocks/kddl-KDDL
KEC,KEC International Ltd,/stocks/kec-international-KECL
KEERTI,Keerti Knowledge and Skills Ltd,/stocks/keerti-knowledge-and-skills-KEET
KEI,KEI Industries Ltd,/stocks/kei-industries-KEIN
KELLTONTEC,Kellton Tech Solutions Ltd,/stocks/kellton-tech-solutions-KELL
KERNEX,Kernex Microsystems (India) Ltd,/stocks/kernex-microsystems-india-KMIL
KESORAMIND,Kesoram Industries Ltd,/stocks/kesoram-industries-KSRM
KKCL,Kewal Kiran Clothing Ltd,/stocks/kewal-kiran-clothing-KKCL
KEYFINSERV,Keynote Financial Services Ltd,/stocks/keynote-financial-services-KEYN
KHADIM,Khadim India Ltd,/stocks/khadim-india-KHAD
KHANDSE,Khandwala Securities Ltd,/stocks/khandwala-securities-KHSE
KHFM,Khfm Hospitality And Facility Management Services Ltd,/stocks/khfm-hospitality-and-facility-managementservices-KHFM
KILITCH,Kilitch Drugs (India) Ltd,/stocks/kilitch-drugs-india-KIDI
KINGFA,Kingfa Science & Technology (India) Ltd
KIOCL,KIOCL Ltd,/stocks/kiocl-KIOC
KIRIINDUS,Kiri Industries Ltd,/stocks/kiri-industries-KIRI
KIRLOSBROS,Kirloskar Brothers Ltd,/stocks/kirloskar-brothers-KRBR
KECL,Kirloskar Electric Company Ltd,/stocks/kirloskar-electric-company-KREL
KIRLOSIND,Kirloskar Industries Ltd,/stocks/kirloskar-industries-KIRL
KIRLOSENG,Kirloskar Oil Engines Ltd,/stocks/kirloskar-oil-engines-KIRO
KITEX,Kitex Garments Ltd,/stocks/kitex-garments-KITE
KKVAPOW,KKV Agro Powers Ltd
KNRCON,KNR Constructions Ltd,/stocks/knr-constructions-KNRL
KOHINOOR,Kohinoor Foods Ltd,/stocks/kohinoor-foods-KOFO
KOKUYOCMLN,Kokuyo Camlin Ltd,/stocks/kokuyo-camlin-KOCL
KOLTEPATIL,Kolte – Patil Developers Ltd
KOPRAN,Kopran Ltd,/stocks/kopran-KPRN
KOTAKBANK,Kotak Mahindra Bank Ltd,/stocks/kotak-mahindra-bank-KTKM
KOTHARIPET,Kothari Petrochemicals Ltd,/stocks/kothari-petrochemicals-KPOC
KOTHARIPRO,Kothari Products Ltd,/stocks/kothari-products-KPRO
KOTARISUG,Kothari Sugars And Chemicals Ltd,/stocks/kothari-sugars-and-chemicals-KTSG
KPITTECH,KPIT Technologies Ltd,/stocks/kpit-technologies-KPIE
KRBL,KRBL Ltd,/stocks/krbl-KRBL
KREBSBIO,Krebs Biochemicals and Industries Ltd,/stocks/krebs-biochemicals-and-industries-KREB
KRIDHANINF,Kridhan Infra Ltd,/stocks/kridhan-infra-KRID
KRISHANA,Krishana Phoschem Ltd,/stocks/krishana-phoschem-KRPH
KRITIKA,Kritika Wires Ltd,/stocks/kritika-wires-KRTK
KSB,Ksb Ltd,/stocks/ksb-KSBL
KSHITIJPOL,Kshitij Polyline Ltd,/stocks/kshitij-polyline-KSHT
KSK,KSK Energy Ventures Ltd,/stocks/ksk-energy-ventures-KSKE
KSERASERA,KSS Ltd,/stocks/kss-KSSL
KUANTUM,Kuantum Papers Ltd,/stocks/kuantum-papers-KAUN
KWALITY,Kwality Ltd,/stocks/kwality-KDAI
L&TFH,L&T Finance Holdings Ltd,/stocks/landt-finance-holdings-LTFH
LTTS,L&T Technology Services Ltd,/stocks/landt-technology-services-LTEH
LAOPALA,La Opala RG Ltd
LAGNAM,Lagnam Spintex Ltd,/stocks/lagnam-spintex-LAGN
LFIC,Lakshmi Finance & Industrial Corporation Ltd
LAXMIMACH,Lakshmi Machine Works Ltd,/stocks/lakshmi-machine-works-LKMC
LAKPRE,Lakshmi Precision Screws Ltd,/stocks/lakshmi-precision-screws-LXPR
LAKSHVILAS,Lakshmi Vilas Bank Ltd
LAMBODHARA,Lambodhara Textiles Ltd,/stocks/lambodhara-textiles-LAMB
LPDC,Landmark Property Development Company Ltd
LTI,Larsen & Toubro Infotech Ltd
LT,Larsen & Toubro Ltd,/stocks/larsen-and-toubro-LART
LASA,Lasa Supergenerics Ltd,/stocks/lasa-supergenerics-LASA
LATTEYS,Latteys Industries Ltd,/stocks/latteys-industries-LATT
LAURUSLABS,Laurus Labs Ltd,/stocks/laurus-labs-LAUL
LAXMICOT,Laxmi Cotspin Ltd,/stocks/laxmi-cotspin-LAXM
LEMONTREE,Lemon Tree Hotels Ltd,/stocks/lemon-tree-hotels-LEMO
LEXUS,Lexus Granito (India) Ltd,/stocks/lexus-granito-india-LEXU
LGBBROSLTD,LG Balakrishnan & Bros Ltd,/stocks/lg-balakrishnan-and-bros-LGB
LGBFORGE,LGB Forge Ltd,/stocks/lgb-forge-LGBL
LIBAS,Libas Designs Ltd
LIBERTSHOE,Liberty Shoes Ltd,/stocks/liberty-shoes-LIBS
LICHSGFIN,LIC Housing Finance Ltd,/stocks/lic-housing-finance-LICH
LIKHITHA,Likhitha Infrastructure Ltd,/stocks/likhitha-infrastructure-LIKH
LINCPEN,Linc Pen & Plastics Ltd
LINCOLN,Lincoln Pharmaceuticals Ltd,/stocks/lincoln-pharmaceuticals-LINP
LINDEINDIA,Linde India Ltd,/stocks/linde-india-LIND
LSIL,Lloyds Steels Industries Ltd,/stocks/lloyds-steels-industries-LSIL
LOKESHMACH,Lokesh Machines Ltd,/stocks/lokesh-machines-LOMA
LOTUSEYE,Lotus Eye Hospital and Institute Ltd,/stocks/lotus-eye-hospital-and-institute-LOTS
LOVABLE,Lovable Lingerie Ltd,/stocks/lovable-lingerie-LOVA
DAAWAT,LT Foods Ltd,/stocks/lt-foods-LTOL
LUMAXTECH,Lumax Auto Technologies Ltd
LUMAXIND,Lumax Industries Ltd,/stocks/lumax-industries-LUMA
LUPIN,Lupin Ltd,/stocks/lupin-LUPN
LUXIND,Lux Industries Ltd,/stocks/lux-industries-LUXI
LYKALABS,Lyka Labs Ltd,/stocks/lyka-labs-LYKA
LYPSAGEMS,Lypsa Gems & Jewellery Ltd,/stocks/lypsa-gems-and-jewellery-LYPS
MKPL,M K Proteins Ltd,/stocks/m-k-proteins-MKPR
MRO,M.R. Organisation Ltd
MAANALU,Maan Aluminium Ltd,/stocks/maan-aluminium-MANA
MACPOWER,Macpower CNC Machines Ltd,/stocks/macpower-cnc-machines-MACP
MCL,Madhav Copper Ltd,/stocks/madhav-copper-MADC
MADHAV,Madhav Marbles and Granites Ltd,/stocks/madhav-marbles-and-granites-MDVM
MADHUCON,Madhucon Projects Ltd,/stocks/madhucon-projects-MAPR
MBAPL,Madhya Bharat Agro Products Ltd,/stocks/madhya-bharat-agro-products-MADY
MPTODAY,Madhya Pradesh Today Media Ltd,/stocks/madhya-pradesh-today-media-MADA
MADRASFERT,Madras Fertilizers Ltd,/stocks/madras-fertilizers-MDFT
MAGADSUGAR,Magadh Sugar & Energy Ltd,/stocks/magadh-sugar-and-energy-MGAD
MAGMA,Magma Fincorp Ltd
MAGNUM,Magnum Ventures Ltd,/stocks/magnum-ventures-MGNM
MAHAPEXLTD,Maha Rashtra Apex Corporation Ltd,/stocks/maha-rashtra-apex-corporation-MAAC
MAHASTEEL,Mahamaya Steel Industries Ltd,/stocks/mahamaya-steel-industries-MAHA
MGL,Mahanagar Gas Ltd,/stocks/mahanagar-gas-MGAS
MTNL,Mahanagar Telephone Nigam Ltd,/stocks/mahanagar-telephone-nigam-MTNL
MAHSCOOTER,Maharashtra Scooters Ltd,/stocks/maharashtra-scooters-MHSC
MAHSEAMLES,Maharashtra Seamless Ltd,/stocks/maharashtra-seamless-MHSM
MAHESHWARI,Maheshwari Logistics Ltd,/stocks/maheshwari-logistics-MAHW
MAHICKRA,Mahickra Chemicals Ltd,/stocks/mahickra-chemicals-MHIC
M&MFIN,Mahindra & Mahindra Financial Services Ltd
M&M,Mahindra & Mahindra Ltd
MAHINDCIE,Mahindra CIE Automotive Ltd,/stocks/mahindra-cie-automotive-MAHN
MAHEPC,Mahindra EPC Irrigation Ltd,/stocks/mahindra-epc-irrigation-MHID
MHRIL,Mahindra Holidays & Resorts India Ltd
MAHLIFE,Mahindra Lifespace Developers Ltd,/stocks/mahindra-lifespace-developers-MALD
MAHLOG,Mahindra Logistics Ltd,/stocks/mahindra-logistics-MALO
MAITHANALL,Maithan Alloys Ltd,/stocks/maithan-alloys-MAIT
MAJESCO,Majesco Ltd
MALUPAPER,Malu Paper Mills Ltd,/stocks/malu-paper-mills-MALP
MANINDS,Man Industries (India) Ltd
MANINFRA,Man Infraconstruction Ltd,/stocks/man-infraconstruction-MANI
MANAKALUCO,Manaksia Aluminium Company Ltd
MANAKCOAT,Manaksia Coated Metals & Industries Ltd,/stocks/manaksia-coated-metals-and-industries-MANC
MANAKSIA,Manaksia Ltd,/stocks/manaksia-MANK
MANAKSTEEL,Manaksia Steels Ltd,/stocks/manaksia-steels-MANM
MANALIPETC,Manali Petrochemicals Ltd,/stocks/manali-petrochemicals-MNLI
MANAPPURAM,Manappuram Finance Ltd,/stocks/manappuram-finance-MNFL
MANAV,Manav Infra Projects Ltd,/stocks/manav-infra-projects-MNVI
MANGLMCEM,Mangalam Cement Ltd,/stocks/mangalam-cement-MGLC
MANGALAM,Mangalam Drugs And Organics Ltd,/stocks/mangalam-drugs-and-organics-MADR
MGEL,Mangalam Global Enterprise Ltd,/stocks/mangalam-global-enterprise-MANP
MANGTIMBER,Mangalam Timber Products Ltd,/stocks/mangalam-timber-products-MGLT
MANGCHEFER,Mangalore Chemicals & Fertilizers Ltd
MRPL,Mangalore Refinery and Petrochemicals Ltd,/stocks/mangalore-refinery-and-petrochemicals-MRPL
MANUGRAPH,Manugraph India Ltd,/stocks/manugraph-india-MNUG
MARALOVER,Maral Overseas Ltd,/stocks/maral-overseas-MARL
MARATHON,Marathon Nextgen Realty Ltd,/stocks/marathon-nextgen-realty-MANE
MARICO,Marico Ltd,/stocks/marico-MRCO
MARINE,Marine Electricals (India) Ltd,/stocks/marine-electricals-india-MARN
MARKSANS,Marksans Pharma Ltd,/stocks/marksans-pharma-MARK
MARSHALL,Marshall Machines Ltd,/stocks/marshall-machines-MARH
MARUTI,Maruti Suzuki India Ltd,/stocks/maruti-suzuki-india-MRTI
MDL,Marvel Decor Ltd,/stocks/marvel-decor-MALR
MASFIN,MAS Financial Services Ltd,/stocks/mas-financial-services-MASF
MASKINVEST,Mask Investments Ltd,/stocks/mask-investments-MASK
MASTEK,Mastek Ltd,/stocks/mastek-MAST
MATRIMONY,Matrimony.com Ltd,/stocks/matrimonycom-MATI
MAWANASUG,Mawana Sugars Ltd,/stocks/mawana-sugars-MAWS
MFSL,Max Financial Services Ltd,/stocks/max-financial-services-MAXI
MAXHEALTH,Max Healthcare Institute Ltd,/stocks/max-healthcare-institute-MAXE
MAXINDIA,Max India Ltd,/stocks/max-india-MAII
MAXVIL,Max Ventures and Industries Ltd,/stocks/max-ventures-and-industries-MAXV
MAYURUNIQ,Mayur Uniquoters Ltd,/stocks/mayur-uniquoters-MAYU
MAZDOCK,Mazagon Dock Shipbuilders Ltd,/stocks/mazagon-dock-shipbuilders-MAZ
MAZDA,Mazda Ltd,/stocks/mazda-MAZD
MBLINFRA,MBL Infrastructures Ltd,/stocks/mbl-infrastructures-MBLI
MCDHOLDING,McDowell Holdings Ltd,/stocks/mcdowell-holdings-MCDH
MCLEODRUSS,Mcleod Russel India Ltd,/stocks/mcleod-russel-india-MCLE
MBECL,Mcnally Bharat Engineering Company Ltd
MEGASOFT,Megasoft Ltd,/stocks/megasoft-MSFT
MEGH,Meghmani Organics Ltd,/stocks/meghmani-organics-MOM
MELSTAR,Melstar Information Technologies Ltd,/stocks/melstar-information-technologies-MELS
MENONBE,Menon Bearings Ltd,/stocks/menon-bearings-MENO
MEP,MEP Infrastructure Developers Ltd,/stocks/mep-infrastructure-developers-MPIN
MERCATOR,Mercator Ltd
METALFORGE,Metalyst Forgings Ltd,/stocks/metalyst-forgings-MTAL
METKORE,Metkore Alloys & Industries Ltd
METROPOLIS,Metropolis Healthcare Ltd,/stocks/metropolis-healthcare-METP
MIC,MIC Electronics Ltd,/stocks/mic-electronics-MELC
MMNL,MIG Media Neurons Ltd,/stocks/mig-media-neurons-MIGM
MILTON,Milton Industries Ltd,/stocks/milton-industries-MLTO
MINDACORP,Minda Corporation Ltd,/stocks/minda-corporation-MINC
MINDAIND,Minda Industries Ltd
MINDPOOL,Mindpool Technologies Ltd,/stocks/mindpool-technologies-MINP
MINDTECK,Mindteck (India) Ltd,/stocks/mindteck-india-MDTK
MINDTREE,MindTree Ltd
MIRCELECTR,MIRC Electronics Ltd,/stocks/mirc-electronics-MIRC
MIRZAINT,Mirza International Ltd,/stocks/mirza-international-MIRZ
MIDHANI,Mishra Dhatu Nigam Ltd,/stocks/mishra-dhatu-nigam-MISR
MITCON,MITCON Consultancy & Engineering Services Ltd,/stocks/mitcon-consultancy-and-engineering-services-MITC
MITTAL,Mittal Life Style Ltd,/stocks/mittal-life-style-MITT
MMFL,MM Forgings Ltd,/stocks/mm-forgings-MMFO
MMP,MMP Industries Ltd,/stocks/mmp-industries-MMPI
MMTC,MMTC Ltd,/stocks/mmtc-MMTC
MODIRUBBER,Modi Rubber Ltd,/stocks/modi-rubber-MODI
MHHL,Mohini Health & Hygiene Ltd,/stocks/mohini-health-and-hygiene-MOHH
MOHITIND,Mohit Industries Ltd,/stocks/mohit-industries-MOHT
MOHOTAIND,Mohota Industries Ltd,/stocks/mohota-industries-MOHO
MOIL,MOIL Ltd,/stocks/moil-MOIL
MOKSH,Moksh Ornaments Ltd,/stocks/moksh-ornaments-MOKS
MOLDTKPAC,Mold-Tek Packaging Ltd,/stocks/mold-tek-packaging-MOLT
MOLDTECH,Mold-Tek Technologies Ltd,/stocks/mold-tek-technologies-MOLD
AIONJSW,Monnet Ispat & Energy Ltd
MONTECARLO,Monte Carlo Fashions Ltd,/stocks/monte-carlo-fashions-MOCF
MORARJEE,Morarjee Textiles Ltd,/stocks/morarjee-textiles-MORT
MOREPENLAB,Morepen Laboratories Ltd,/stocks/morepen-laboratories-MORL
MOTHERSUMI,Motherson Sumi Systems Ltd
MOTILALOFS,Motilal Oswal Financial Services Ltd,/stocks/motilal-oswal-financial-services-MOFS
MPHASIS,MphasiS Ltd,/stocks/mphasis-MBFL
MPSLTD,MPS Ltd,/stocks/mps-MPSL
MRF,MRF Ltd,/stocks/mrf-MRF
MRO-TEK,MRO-TEK Realty Ltd
MSPL,MSP Steel & Power Ltd,/stocks/msp-steel-and-power-MSPO
MSTCLTD,MSTC Ltd,/stocks/mstc-MSTC
MTEDUCARE,MT Educare Ltd,/stocks/mt-educare-MTED
MUKANDENGG,Mukand Engineers Ltd,/stocks/mukand-engineers-MUKE
MUKANDLTD,Mukand Ltd,/stocks/mukand-MUKA
MUKTAARTS,Mukta Arts Ltd,/stocks/mukta-arts-MUKR
MUNJALAU,Munjal Auto Industries Ltd,/stocks/munjal-auto-industries-MUAU
MUNJALSHOW,Munjal Showa Ltd,/stocks/munjal-showa-MNJL
MURUDCERA,Murudeshwar Ceramics Ltd,/stocks/murudeshwar-ceramics-MURD
RADIOCITY,Music Broadcast Ltd,/stocks/music-broadcast-MUSI
MUTHOOTCAP,Muthoot Capital Services Ltd,/stocks/muthoot-capital-services-MUTH
MUTHOOTFIN,Muthoot Finance Ltd,/stocks/muthoot-finance-MUTT
NRAIL,N R Agarwal Industries Ltd,/stocks/n-r-agarwal-industries-NRAI
NBIFIN,N. B. I. Industrial Finance Company Ltd
NACLIND,NACL Industries Ltd,/stocks/nacl-industries-NACL
NDGL,Naga Dhunseri Group Ltd,/stocks/naga-dhunseri-group-NAGD
NAGAFERT,Nagarjuna Fertilizers and Chemicals Ltd,/stocks/nagarjuna-fertilizers-and-chemicals-NGFR
NAGREEKCAP,Nagreeka Capital & Infrastructure Ltd,/stocks/nagreeka-capital-and-infrastructure-NCIL
NAGREEKEXP,Nagreeka Exports Ltd,/stocks/nagreeka-exports-NAGR
NAHARCAP,Nahar Capital and Financial Services Ltd,/stocks/nahar-capital-and-financial-services-NAHA
NAHARINDUS,Nahar Industrial Enterprises Ltd,/stocks/nahar-industrial-enterprises-NHIE
NAHARPOLY,Nahar Poly Films Ltd,/stocks/nahar-poly-films-NAHR
NAHARSPING,Nahar Spinning Mills Ltd,/stocks/nahar-spinning-mills-NHRS
NSIL,Nalwa Sons Investments Ltd,/stocks/nalwa-sons-investments-NALS
NDL,Nandan Denim Ltd,/stocks/nandan-denim-NANE
NANDANI,Nandani Creation Ltd,/stocks/nandani-creation-NANA
NH,Narayana Hrudayalaya Ltd.
NARMADA,Narmada Agrobase Ltd,/stocks/narmada-agrobase-NARD
NATCOPHARM,Natco Pharma Ltd,/stocks/natco-pharma-NATP
NATHBIOGEN,Nath Bio-Genes (India) Ltd
NATIONALUM,National Aluminium Company Ltd
NFL,National Fertilizers Ltd,/stocks/national-fertilizers-NAFT
NATNLSTEEL,National Steel And Agro Industries Ltd,/stocks/national-steel-and-agro-industries-NTST
NBVENTURES,Nava Bharat Ventures Ltd
NAVINFLUOR,Navin Fluorine International Ltd,/stocks/navin-fluorine-international-NAFL
NAVKARCORP,Navkar Corporation Ltd,/stocks/navkar-corporation-NAVR
NAVNETEDUL,Navneet Education Ltd,/stocks/navneet-education-NAVN
NBCC,NBCC (India) Ltd,/stocks/nbcc-india-NBCC
NCC,NCC Ltd,/stocks/ncc-NCCL
NCLIND,NCL Industries Ltd,/stocks/ncl-industries-NCLI
NECLIFE,Nectar Lifesciences Ltd,/stocks/nectar-life-sciences-NECT
NELCAST,Nelcast Ltd,/stocks/nelcast-NLCA
NELCO,NELCO Ltd,/stocks/nelco-NELC
NEOGEN,Neogen Chemicals Ltd,/stocks/neogen-chemicals-NEOE
NESCO,Nesco Ltd,/stocks/nesco-NSEN
NETWORK18,Network18 Media & Investments Ltd,/stocks/network18-media-and-investments-NEFI
NTL,Neueon Towers Ltd,/stocks/neueon-towers-NEUE
NEULANDLAB,Neuland Laboratories Ltd,/stocks/neuland-laboratories-NEUL
NDTV,New Delhi Television Ltd,/stocks/new-delhi-television-NDTV
NEWGEN,Newgen Software Technologies Ltd,/stocks/newgen-software-technologies-NEWG
NEXTMEDIA,Next Mediaworks Ltd,/stocks/next-mediaworks-NEXM
NHPC,NHPC Ltd,/stocks/nhpc-NHPC
NIITLTD,NIIT Ltd,/stocks/niit-NIIT
NILAINFRA,Nila Infrastructures Ltd,/stocks/nila-infrastructures-NHI
NILASPACES,Nila Spaces Ltd,/stocks/nila-spaces-NILS
NILKAMAL,Nilkamal Ltd,/stocks/nilkamal-NKML
NAM-INDIA,Nippon Life India Asset Management Ltd,/stocks/nippon-life-india-asset-management-NIPF
NIRAJISPAT,Niraj Ispat Industries Ltd,/stocks/niraj-ispat-industries-NIRA
NITCO,Nitco Ltd,/stocks/nitco-NCOT
NITINFIRE,Nitin Fire Protection Industries Ltd,/stocks/nitin-fire-protection-industries-NIFP
NITINSPIN,Nitin Spinners Ltd,/stocks/nitin-spinners-NISP
NITIRAJ,Nitiraj Engineers Ltd,/stocks/nitiraj-engineers-NITR
NKIND,NK Industries Ltd
NLCINDIA,NLC India Ltd,/stocks/nlc-india-NLCI
NMDC,NMDC Ltd,/stocks/nmdc-NMDC
NOCIL,NOCIL Ltd,/stocks/nocil-NOCI
NOIDATOLL,Noida Toll Bridge Company Ltd,/stocks/noida-toll-bridge-company-NOID
NORBTEAEXP,Norben Tea & Exports Ltd
NECCLTD,North Eastern Carrying Corporation Ltd,/stocks/north-eastern-carrying-corporation-NECC
NRBBEARING,NRB Bearing Ltd
NIBL,NRB Industrial Bearings Ltd,/stocks/nrb-industrial-bearings-NIBL
NTPC,NTPC Ltd,/stocks/ntpc-NTPC
NUCLEUS,Nucleus Software Exports Ltd,/stocks/nucleus-software-exports-NSEL
NXTDIGITAL,NXTDigital Ltd
OBEROIRLTY,Oberoi Realty Ltd,/stocks/oberoi-realty-OEBO
OISL,OCL Iron and Steel Ltd,/stocks/ocl-iron-and-steel-OCLI
ONGC,Oil & Natural Gas Corporation Ltd
OILCOUNTUB,Oil Country Tubular Ltd,/stocks/oil-country-tubular-OCTL
OIL,Oil India Ltd,/stocks/oil-india-OILI
OLECTRA,Olectra Greentech Ltd,/stocks/olectra-greentech-OLEC
OMMETALS,OM Metals Infraprojects Ltd
OMAXAUTO,Omax Autos Ltd,/stocks/omax-autos-OMXA
OMAXE,Omaxe Ltd,/stocks/omaxe-OMAX
OMFURN,Omfurn India Ltd,/stocks/omfurn-india-OMFU
OMKARCHEM,Omkar Speciality Chemicals Ltd,/stocks/omkar-speciality-chemicals-OMKS
ONEPOINT,One Point One Solutions Ltd,/stocks/one-point-one-solutions-ONEP
ONELIFECAP,Onelife Capital Advisors Ltd,/stocks/onelife-capital-advisors-ONEL
ONMOBILE,OnMobile Global Ltd,/stocks/onmobile-global-ONMO
ONWARDTEC,Onward Technologies Ltd,/stocks/onward-technologies-OTEC
OPAL,Opal Luxury Time Products Ltd,/stocks/opal-luxury-time-products-OLTP
OPTIEMUS,Optiemus Infracom Ltd,/stocks/optiemus-infracom-OPTI
OPTOCIRCUI,Opto Circuits (India) Ltd
